id,soundType,name,file_1,file_2,file_3,file_4,file_5,file_6,file_7,file_8,file_9,file_10,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,directoryBase,flags,distanceMin,distanceMax,distanceCutoff,soundEntriesAdvancedId
3,1,"Invisibility Impact","Dispel_Low_Base.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
7,1,"BlizzardImpact","Spell_MA_Revamp_BlizzardImpact1A.ogg","Spell_MA_Revamp_BlizzardImpact1B.ogg","Spell_MA_Revamp_BlizzardImpact1C.ogg","Spell_MA_Revamp_BlizzardImpact1D.ogg","Spell_MA_Revamp_BlizzardImpact1E.ogg","Spell_MA_Revamp_BlizzardImpact1F.ogg","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,4.484155085839415e-44,8,45,2
15,1,"FrostImpact","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
20,1,"Frost Precast","Spell_MA_Revamp_Frostbolt_PreCast_Loop_01.ogg","Spell_MA_Revamp_Frostbolt_PreCast_Loop_02.ogg","Spell_MA_Revamp_Frostbolt_PreCast_Loop_03.ogg","Spell_MA_Revamp_Frostbolt_PreCast_Loop_04.ogg","","","","","","",1,1,1,1,1,0,0,0,0,0,"Sound\Spells",1058642330,7.174648137343064e-43,8,45,2
22,1,"Ice Blast Impact","IceBlastImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
25,1,"FireShield_Impact","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
26,1,"Natures_Healing_Impact","RestorationImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
27,1,"Precast Nature High","PreCastNatureMagicHigh.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,7.174648137343064e-43,8,45,2
29,1,"Freeze Impact","IceBarrirerState.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
30,1,"Call Lightning Impact","CallLightning.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,4.484155085839415e-44,8,45,2
31,1,"Call Lightning Precast","PreCastNatureMagicMedium.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
33,1,"Lightning Shield","LightningShieldImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
35,1,"Lightning Cast","LightningShieldImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
36,1,"Ice Prison","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
37,1,"Resurrection","Resurrection.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,4.484155085839415e-44,8,45,2
38,1,"Immolate","Immolate.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,4.484155085839415e-44,8,45,2
39,1,"Divine Shield","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
42,1,"ShieldBash","m1hSwordHitMetalShieldCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword1H",1065353216,0,8,45,2
44,1,"Holy Bolt","HolyBolt.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,0,8,45,2
45,1,"Item - Eat","iEating1.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\UseSounds",1065353216,0,8,45,2
46,1,"Dismember","m2hAxeHitFleshCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Axe2H",1065353216,0,8,45,2
48,1,"Special Physical Ability Cast","mWooshMediumCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\WeaponSwings",1065353216,0,8,45,2
49,1,"Special Ability Impact Sound","UnarmedAttackMediumCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Unarmed",1065353216,0,8,45,2
50,1,"Special Weapon Impact","m1hSwordHitFleshCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword1H",1065353216,0,8,45,2
51,1,"FireBoltPrecast","PreCastFireHigh.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,7.174648137343064e-43,8,45,2
61,2,"GLUESCREENSMALLBUTTONMOUSEDOWN","iUIMainMenuButtonA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
62,2,"GLUESCREENSMALLBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
63,2,"GLUESCREENSMALLBUTTONMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
64,2,"GLUESCREENMEDIUMBUTTONMOUSEDOWN","iUIMainMenuButtonA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
65,2,"GLUESCREENMEDIUMBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
66,2,"GLUESCREENMEDIUMBUTTONMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1060320051,4.484155085839415e-44,8,45,2
67,2,"GLUESCREENLARGEBUTTONMOUSEDOWN","iUIMainMenuButtonA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1065353216,4.484155085839415e-44,8,45,2
68,2,"GLUESCREENLARGEBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
69,2,"GLUESCREENLARGEBUTTONMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
72,2,"GLUECHECKBOXMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
73,2,"GLUECHECKBOXMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
75,2,"GLUECHARCUSTOMIZATIONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
76,2,"GLUECHARCUSTOMIZATIONMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
77,2,"GLUESCROLLBUTTONMOUSEDOWN","iUIMainMenuButtonA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1065353216,4.484155085839415e-44,8,45,2
78,2,"GLUESCROLLBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
79,2,"GLUESCROLLBUTTONMOUSEOVER","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
80,2,"GAMEABILITYBUTTONMOUSEDOWN","uChatScrollButton.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1056964608,4.484155085839415e-44,8,45,2
83,2,"GAMESPELLBUTTONMOUSEDOWN","uChatScrollButton.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1056964608,4.484155085839415e-44,8,45,2
88,2,"GAMEDIALOGOPEN","uEscapeScreenOpen.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
89,2,"GAMEDIALOGCLOSE","uEscapeScreenClose.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
92,2,"GAMESCREENSMALLBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
93,2,"GAMESCREENSMALLBUTTONMOUSEOVER","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
95,2,"GAMESCREENMEDIUMBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
96,2,"GAMESCREENMEDIUMBUTTONMOUSEOVER","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
98,2,"GAMESCREENLARGEBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
99,2,"GAMESCREENLARGEBUTTONMOUSEOVER","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
100,2,"GAMETARGETFRIENDLYUNIT","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1065353216,4.484155085839415e-44,8,45,2
101,2,"GAMETARGETHOSTILEUNIT","iSelectTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1065353216,4.484155085839415e-44,8,45,2
102,2,"GAMETARGETNEUTRALUNIT","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1065353216,4.484155085839415e-44,8,45,2
103,2,"GAMEHIGHLIGHTFRIENDLYUNIT","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
104,2,"GAMEHIGHLIGHTHOSTILEUNIT","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
105,2,"GAMEHIGHLIGHTNEUTRALUNIT","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
106,2,"GAMEINITIALATTACK","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
111,2,"ACTIONBARBUTTONDOWN","uChatScrollButton.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1056964608,4.484155085839415e-44,8,45,2
113,2,"MINIMAPZOOMOUT","uMiniMapZoom.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
114,2,"MINIMAPZOOMIN","uMiniMapZoom.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
115,2,"MINIMAPOPEN","uMiniMapOpen.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
116,2,"MINIMAPCLOSE","uMiniMapClose.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1060320051,4.484155085839415e-44,8,45,2
117,2,"BAGMENUBUTTONPRESS","iEquipmentContainerOpenA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",1056964608,4.484155085839415e-44,8,45,2
120,2,"LOOTWINDOWCOINSOUND","LootCoinSmall.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1060320051,4.484155085839415e-44,8,45,2
121,2,"ITEMWEAPONSOUND","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
122,2,"ITEMARMORSOUND","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
123,2,"ITEMGENERICSOUND","MouseOverTarget.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1065353216,4.484155085839415e-44,8,45,2
124,2,"LEVELUPSOUND","LevelUp.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",1065353216,4.484155085839415e-44,8,45,2
129,4,"Sword2H_ArmorFlesh","2H_Sword_Hit_Flesh_01.ogg","2H_Sword_Hit_Flesh_02.ogg","2H_Sword_Hit_Flesh_03.ogg","2H_Sword_Hit_Flesh_04.ogg","2H_Sword_Hit_Flesh_05.ogg","2H_Sword_Hit_Flesh_06.ogg","2H_Sword_Hit_Flesh_07.ogg","2H_Sword_Hit_Flesh_08.ogg","2H_Sword_Hit_Flesh_09.ogg","2H_Sword_Hit_Flesh_10.ogg",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword2H",1056964608,0,8,45,2
130,4,"Sword2H_ArmorFleshCritical","2H_Sword_CritHit_Flesh_01.ogg","2H_Sword_CritHit_Flesh_02.ogg","2H_Sword_CritHit_Flesh_03.ogg","2H_Sword_CritHit_Flesh_04.ogg","2H_Sword_CritHit_Flesh_05.ogg","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword2H",1056964608,0,8,45,2
131,4,"Sword2H_ArmorChain","2H_Sword_Hit_Armor_Chain_01.ogg","2H_Sword_Hit_Armor_Chain_02.ogg","2H_Sword_Hit_Armor_Chain_03.ogg","2H_Sword_Hit_Armor_Chain_04.ogg","2H_Sword_Hit_Armor_Chain_05.ogg","2H_Sword_Hit_Armor_Chain_06.ogg","2H_Sword_Hit_Armor_Chain_07.ogg","2H_Sword_Hit_Armor_Chain_08.ogg","2H_Sword_Hit_Armor_Chain_09.ogg","2H_Sword_Hit_Armor_Chain_10.ogg",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword2H",1056964608,0,8,45,2
132,4,"Sword2H_ArmorChainCritical","2H_Sword_CritHit_Armor_Chain_01.ogg","2H_Sword_CritHit_Armor_Chain_02.ogg","2H_Sword_CritHit_Armor_Chain_03.ogg","2H_Sword_CritHit_Armor_Chain_04.ogg","2H_Sword_CritHit_Armor_Chain_05.ogg","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword2H",1056964608,0,8,45,2
133,4,"Sword2H_ArmorPlate","2H_Sword_Hit_Armor_Plate_01.ogg","2H_Sword_Hit_Armor_Plate_02.ogg","2H_Sword_Hit_Armor_Plate_03.ogg","2H_Sword_Hit_Armor_Plate_04.ogg","2H_Sword_Hit_Armor_Plate_05.ogg","2H_Sword_Hit_Armor_Plate_06.ogg","2H_Sword_Hit_Armor_Plate_07.ogg","2H_Sword_Hit_Armor_Plate_08.ogg","2H_Sword_Hit_Armor_Plate_09.ogg","2H_Sword_Hit_Armor_Plate_10.ogg",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword2H",1056964608,0,8,45,2
